Subconjunto,Numero,Nome,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,UC1_CodUC,UC1_Assiduidade,UC1_AvalParcial,UC2_CodUC,UC2_Assiduidade,UC2_AvalParcial,UC3_CodUC,UC3_Assiduidade,UC3_AvalParcial,UC4_CodUC,UC4_Assiduidade,UC4_AvalParcial,UC5_CodUC,UC5_Assiduidade,UC5_AvalParcial,UC6_CodUC,UC6_Assiduidade,UC6_AvalParcial,UC7_CodUC,UC7_Assiduidade,UC7_AvalParcial,UC8_CodUC,UC8_Assiduidade,UC8_AvalParcial
b1,6257,A6257,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,24,C24,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,30,30,12,10,0,30,30/09/2015,Indeferida,30/11/2015,,10,134.4,1,2,30,5,42491,53.85,,47128,33.33,,42441,69.09,,42447,100,,47235,93.33,,,,,,,,,,
b1,6258,A6258,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,55,C55,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,30,54,10,0,,,,,,10,164.2,1,3,30,5,81436,100,,82133,66.67,,81430,80,,85111,76.67,,89124,77.78,,,,,,,,,,
b3,6259,A6259,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,33,C33,FALSO,2014,ACTIVO,RG,Ordinário,1,60,30,30,0,30,531.72,,,,,,,,,,20,5,42257,-1,,42729,-1,,47169,100,,43504,-1,,47238,15.38,,,,,,,,,,
b3,6260,A6260,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,39,C39,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,36,10,0,,,,,,,,,,20,5,42281,100,,42729,75.86,,41703,-2,,47199,92.5,,47079,79.49,,,,,,,,,,
b3,6261,A6261,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,33,C33,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,36,10,0,,,,,,,,,,10,4,47169,95.12,,42257,100,,43711,100,,47238,80.77,,,,,,,,,,,,,
b3,6262,A6262,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,26,C26,FALSO,2014,ACTIVO,RG,Ordinário,1,60,30,26,0,30,354.47,30,07/08/2015,Indeferida,30/11/2015,,,,,,30,5,42729,44.44,,47166,17.07,,40333,42.31,,43257,32.14,,40338,42.31,,,,,,,,,,
b3,6263,A6263,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,33,C33,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,18,10,0,,,,,,,,,,10,4,43711,100,,47195,100,,43504,100,,47169,100,,,,,,,,,,,,,
b3,6264,A6264,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,58,C58,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,48,10,0,,,,,,,,,,30,5,42502,78.95,,42532,88.89,,40436,96.55,,41549,92.86,,47166,25.58,,,,,,,,,,
b3,6265,A6265,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,26,C26,FALSO,2014,ACTIVO,RG,Ordinário,1,60,30,26,0,30,708.97,,,,,,,,,,20,5,42729,3.33,,40333,51.85,,43257,-2,,40338,38.46,,47166,0,,,,,,,,,,
b1,6266,A6266,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,58,C58,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,30,30,12,10,0,10,14/09/2015,Deferida,02/11/2015,1622,10,166,1,1,20,5,40436,-1,,47166,4.55,,40431,-1,,42502,-1,,42729,71.43,,,,,,,,,,
b3,6267,A6267,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,40,C40,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,0,10,0,,,,,,,,,,30,5,42611,3.57,,42602,41.67,,42604,13.79,,45104,26.67,,44540,100,,,,,,,,,,
b3,6268,A6268,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,39,C39,FALSO,2014,ACTIVO,RG,Agente Associativo - UA,2,60,10,30,36,10,0,,,,,,,,,,20,5,42281,100,,42729,70.37,,47079,84.62,,47199,92.5,,41703,-2,,,,,,,,,,
b1,6269,A6269,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,24,C24,VERDADEIRO,2015,ACTIVO,MUD,Ordinário,1,60,10,30,60,10,0,,,,,,,,,,10,5,42491,100,,47128,92.31,,42441,98.18,,42447,96.67,,47235,93.33,,,,,,,,,,
b3,6270,A6270,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,18,C18,FALSO,2014,ACTIVO,RG,Ordinário,2,56,10,28,36,10,0,30,05/08/2015,Indeferida,26/10/2015,,,,,,30,4,42729,70,,47278,100,,43257,78.57,,47171,53.57,,,,,,,,,,,,,
b3,6271,A6271,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,26,C26,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,26,6,10,0,10,06/10/2015,Deferida,29/01/2016,1210,,,,,30,5,42729,53.33,,47166,9.52,,40333,100,,43257,40,,40338,57.69,,,,,,,,,,
b3,6272,A6272,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,58,C58,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,42,10,0,30,26/09/2015,Indeferida,26/10/2015,,,,,,30,5,40436,93.1,,42532,88.89,,47166,2.27,,41549,93.33,,42729,85.71,,,,,,,,,,
b3,6273,A6273,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,39,C39,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,36,10,0,,,,,,,,,,20,5,47199,100,,41703,-2,,42281,100,,42729,70,,47079,100,,,,,,,,,,
b3,6274,A6274,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,26,C26,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,28,28,10,0,,,,,,,,,,30,5,40333,92.59,,43257,50,,43343,97.78,,42729,22.22,,47166,4.55,,,,,,,,,,
b3,6275,A6275,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,58,C58,FALSO,2014,ANULADO,RG,Ordinário,2,30,30,30,6,10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
b3,6276,A6276,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,41,C41,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,0,30,1063.47,,,,,,,,,,20,5,44702,-1,,42611,3.57,,44506,100,,42607,6.9,,44408,41.38,,,,,,,,,,
b3,6277,A6277,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,40,C40,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,60,30,1063.47,30,14/08/2015,Indeferida,01/10/2015,,,,,,30,5,42602,91.67,,44540,100,,44524,6.67,,42604,96.55,,45104,86.67,,,,,,,,,,
b3,6278,A6278,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,39,C39,FALSO,2014,ACTIVO,RG,Ordinário,1,60,10,30,48,10,0,30,05/08/2015,Indeferida,09/02/2016,,,,,,10,5,42257,93.02,,47030,92.31,,41703,87.5,,42729,85.19,,42883,100,,,,,,,,,,
b3,6279,A6279,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2014,ACTIVO,TIT-CET,Trabalhador Estudante,1,28,30,16,0,10,0,,,,,,,,,,30,2,90124,6.67,,90242,56.67,,,,,,,,,,,,,,,,,,,
b1,6280,A6280,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,40,C40,VERDADEIRO,2015,ACTIVO,MUD,Ordinário,1,60,30,30,24,10,0,,,,,,,,,,30,5,44540,100,,45104,26.67,,42602,70.83,,42611,39.29,,42607,68.75,,,,,,,,,,
b3,6281,A6281,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,36,C36,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,24,10,0,,,,,,,,,,30,4,40404,100,,47223,91.67,,47146,96.55,,43517,78.05,,,,,,,,,,,,,
b1,6282,A6282,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,48,C48,VERDADEIRO,2015,ACTIVO,MUD,Ordinário,1,38,10,12,38,10,0,10,25/08/2015,Deferida,06/11/2015,1277,,,,,10,5,40122,96.67,,45900,100,,40191,96,,46614,100,,40118,100,,,,,,,,,,
b3,6283,A6283,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,32,C32,FALSO,2014,ACTIVO,RG,Trabalhador Estudante,1,60,30,30,0,10,0,,,,,,,,,,20,5,40909,57.14,,46493,16,,42729,-1,,46415,38.46,,41703,-2,,,,,,,,,,
b3,6284,A6284,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,32,C32,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,30,10,0,,,,,,,,,,20,5,46414,82.14,,46415,64.29,,41201,92.68,,42729,10.34,,41703,-2,,,,,,,,,,
b1,6285,A6285,,PORTUGAL,Sim,Não,Não Prescrito,Mestrado Integrado,26,C26,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,26,48,10,0,,,,,,10,166.2,1,1,30,5,40338,92.31,,40333,62.96,,43257,89.29,,42729,88.89,,47166,55.81,,,,,,,,,,
b3,6286,A6286,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,52,C52,FALSO,2014,ACTIVO,RG,Ordinário,1,54,30,24,0,30,531.72,30,09/10/2015,Indeferida,23/11/2015,,,,,,20,5,81435,13.33,,85101,42.86,,81125,6.9,,81436,-2,,84116,27.59,,,,,,,,,,
b1,6287,A6287,,PORTUGAL,Sim,Não,Não Prescrito,Mestrado Integrado,32,C32,VERDADEIRO,2015,ACTIVO,MUD,Ordinário,1,60,10,30,36,10,0,,,,,,,,,,10,4,46415,100,,41703,100,,40909,100,,46493,88.46,,,,,,,,,,,,,
b3,6288,A6288,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,27,C27,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,54,10,0,,,,,,,,,,10,5,43564,100,,41236,100,,41703,100,,42729,83.33,,41758,100,,,,,,,,,,
b3,6289,A6289,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,27,C27,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,12,10,0,30,21/09/2015,Indeferida,10/12/2015,,,,,,20,5,41236,100,,41703,-2,,43564,100,,42729,70.37,,41201,74.42,,,,,,,,,,
b3,6290,A6290,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,32,C32,FALSO,2014,ACTIVO,RG,Ordinário,2,64,10,34,52,10,0,,,,,,,,,,30,5,42729,86.21,,41201,85.37,,41704,95.24,,46414,96.43,,46415,66.67,,,,,,,,,,
b3,6291,A6291,,PORTUGAL,Não,Não,Prescrito,Licenciatura - 1º Ciclo,22,C22,FALSO,2014,ACTIVO,TRA,Ordinário,2,60,30,30,12,10,0,,,,,,,,,,10,5,40914,85.37,,42729,90,,47211,92.86,,41201,100,,47265,100,,,,,,,,,,
b3,6292,A6292,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,36,C36,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,0,30,177.25,,,,,,,,,,20,5,40308,78.57,,47223,91.3,,42729,-1,,47041,3.85,,43517,11.11,,,,,,,,,,
b1,6293,A6293,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,26,C26,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,26,42,10,0,,,,,,10,152.2,1,1,30,5,40338,96.15,,42729,90,,47166,72.73,,40333,100,,43257,100,,,,,,,,,,
b1,6294,A6294,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,30,60,10,0,10,05/08/2015,Deferida,07/12/2015,1064,10,146.4,1,1,10,5,43501,100,,47035,100,,40308,100,,42782,100,,47266,100,,,,,,,,,,
b3,6295,A6295,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,37,C37,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,30,10,0,,,,,,,,,,30,4,47223,100,,47041,45.45,,43501,100,,40308,100,,,,,,,,,,,,,
b3,6296,A6296,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,32,C32,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,42,10,0,,,,,,,,,,20,5,41201,80.49,,42729,40,,41703,-2,,46414,86.67,,46415,100,,,,,,,,,,
b3,6297,A6297,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,21,C21,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,46,10,0,,,,,,,,,,10,4,42707,100,,42732,100,,43257,85.71,,42701,92.59,,,,,,,,,,,,,
b3,6298,A6298,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,55,C55,FALSO,2014,ANULADO,RG,Ordinário,2,60,30,30,4,10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
b1,6299,A6299,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,25,C25,VERDADEIRO,2015,ACTIVO,MUD,Ordinário,1,64,10,30,60,10,0,,,,,,,,,,10,5,41208,100,,42729,100,,47259,100,,47055,100,,47080,100,,,,,,,,,,
b1,6300,A6300,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,78,C78,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,30,34,10,0,,,,,,30,117.5,2,2,30,5,90012,70.59,,90076,86.67,,90066,80,,90092,88.89,,90150,84.62,,,,,,,,,,
b3,6301,A6301,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,52,C52,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,48,10,0,,,,,,,,,,30,5,85101,100,,81439,53.33,,83112,100,,81125,96.55,,84116,89.66,,,,,,,,,,
b3,6302,A6302,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,51,C51,FALSO,2014,ACTIVO,RG,Ordinário,2,58,30,30,0,30,531.75,,,,,,,,,,30,5,82416,6.67,,81430,80,,81436,100,,81433,0,,82124,7.14,,,,,,,,,,
b2,6303,A6303,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,7,C7,VERDADEIRO,2015,ACTIVO,TeSP-TCES,Trabalhador Estudante,1,60,10,30,60,10,0,,,,,,,,,,10,5,18041,89.66,,18105,93.33,,18108,100,,18106,100,,18107,87.1,,,,,,,,,,
b3,6304,A6304,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,25,C25,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,30,10,0,30,02/09/2015,Indeferida,26/10/2015,,,,,,30,5,41221,100,,42729,92.59,,47259,100,,45839,100,,41208,77.27,,,,,,,,,,
b3,6305,A6305,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,56,C56,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,24,10,0,,,,,,,,,,30,5,81481,20,,83112,100,,85101,96.55,,81125,32.14,,84116,50,,,,,,,,,,
b3,6306,A6306,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,56,C56,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,0,10,0,,,,,,,,,,30,5,85101,86.21,,81481,26.67,,81436,100,,84116,30,,81125,32.14,,,,,,,,,,
b3,6307,A6307,,ANGOLA,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,70,C70,FALSO,2014,ACTIVO,MUD,Trabalhador Estudante,2,44,30,10,12,30,1063.47,30,20/09/2015,Indeferida,07/12/2015,,,,,,30,6,90065,100,,90098,100,,90048,100,,90199,100,,90037,100,,90044,19.23,,,,,,,
b1,6308,A6308,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,22,C22,VERDADEIRO,2015,ACTIVO,MUD,Ordinário,1,42,10,18,36,10,0,,,,,,,,,,10,4,42729,92.59,,40909,96.3,,41703,100,,47211,96.55,,,,,,,,,,,,,
b1,6309,A6309,,CABO VERDE,Sim,Não,,Licenciatura - 1º Ciclo,29,C29,VERDADEIRO,2015,ACTIVO,EI,Ordinário,1,60,10,30,48,10,0,,,,,,,,,,30,5,42611,100,,42602,85.71,,46814,100,,41201,86.05,,42607,79.31,,,,,,,,,,
b1,6310,A6310,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,20,C20,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,20,60,10,0,,,,,,10,167.4,1,1,20,5,47048,100,,47013,93.33,,47018,-2,,46715,92.86,,47188,93.33,,,,,,,,,,
b3,6311,A6311,,CABO VERDE,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,58,C58,FALSO,2014,ACTIVO,PLS,Ordinário,1,60,30,30,6,30,177.22,,,,,,,,,,20,5,40436,21.43,,42729,64.29,,47166,-1,,42502,78.95,,40431,83.33,,,,,,,,,,
b3,6312,A6312,,MOÇAMBIQUE,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,54,C54,FALSO,2014,ACTIVO,PLS,Ordinário,1,48,10,24,42,10,0,,,,,,,,,,30,4,81481,70,,81125,92.86,,84116,73.33,,85101,96.55,,,,,,,,,,,,,
b1,6313,A6313,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,21,C21,VERDADEIRO,2015,ACTIVO,TRA,Ordinário,1,60,30,30,0,30,1063.47,,,,,,,,,,20,4,43257,-2,,42707,100,,42735,36.67,,47166,7.32,,,,,,,,,,,,,
b1,6314,A6314,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,20,C20,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,20,56,10,0,,,,,,10,125.7,3,1,20,5,46715,92.86,,47188,80,,47018,-2,,47013,73.33,,47048,92.86,,,,,,,,,,
b1,6315,A6315,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,37,C37,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,30,60,10,0,10,20/10/2015,Deferida,03/11/2015,1064,10,170.8,2,2,10,5,47223,100,,42729,96.55,,47041,84.85,,43501,100,,47058,100,,,,,,,,,,
b1,6316,A6316,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,52,C52,VERDADEIRO,2015,ACTIVO,RG,Agente Associativo - UA,1,60,10,30,42,10,0,,,,,,10,135.5,1,1,20,5,85101,93.1,,81436,-2,,84116,88.89,,81435,90,,81125,89.66,,,,,,,,,,
b1,6317,A6317,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,62,C62,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,30,42,10,0,30,22/09/2015,Indeferida,26/10/2015,,10,151,1,3,30,5,40913,60.71,,43328,80,,47286,82.14,,40602,97.44,,40598,58.82,,,,,,,,,,
b3,6318,A6318,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,33,C33,FALSO,2014,ACTIVO,RG,Ordinário,1,54,30,24,0,10,0,,,,,,,,,,30,5,42257,85,,43504,100,,47238,53.57,,42729,10.34,,47169,95.12,,,,,,,,,,
b3,6319,A6319,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,76,C76,FALSO,2014,ACTIVO,RG,Ordinário,1,60,10,30,30,10,0,,,,,,,,,,30,5,40909,77.78,,42729,96.3,,46501,96.43,,43504,100,,41703,93.75,,,,,,,,,,
b3,6320,A6320,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,39,C39,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,24,10,0,,,,,,,,,,20,5,47199,97.5,,42281,100,,42729,79.31,,41703,-2,,47079,94.87,,,,,,,,,,
b2,6321,A6321,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,9,C9,VERDADEIRO,2015,ACTIVO,TeSP-TCES,Ordinário,1,60,10,30,60,10,0,,,,,,,,,,10,5,18093,100,,18096,100,,18001,96.67,,18094,86.67,,18095,100,,,,,,,,,,
b3,6322,A6322,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,60,C60,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,24,36,10,0,,,,,,,,,,30,5,40492,93.33,,43504,100,,44164,100,,41703,100,,42729,72.41,,,,,,,,,,
b3,6323,A6323,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,58,C58,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,18,10,0,,,,,,,,,,30,5,40436,51.72,,41469,3.45,,42729,0,,47166,13.64,,42502,100,,,,,,,,,,
b3,6324,A6324,,CABO VERDE,Não,Não,Não Prescrito,Mestrado Integrado,60,C60,FALSO,2014,ACTIVO,PLS,Ordinário,1,54,30,30,0,30,177.22,,,,,,,,,,20,4,42729,30,,43153,100,,43504,-1,,41703,-2,,,,,,,,,,,,,
b3,6325,A6325,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,27,C27,FALSO,2014,ACTIVO,RG,Trabalhador Estudante,2,60,10,30,30,30,177.22,,,,,,,,,,20,5,43564,100,,41703,-2,,41236,100,,42729,77.78,,47212,92.31,,,,,,,,,,
b3,6326,A6326,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,76,C76,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,18,10,0,,,,,,,,,,20,4,40909,33.33,,43504,-1,,47150,92.31,,41703,100,,,,,,,,,,,,,
b1,6327,A6327,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,26,C26,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,26,48,10,0,,,,,,10,153.6,1,1,30,5,47166,73.81,,40338,92.31,,42729,70.37,,40333,100,,43257,86.21,,,,,,,,,,
b3,6328,A6328,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,79,C79,FALSO,2014,ACTIVO,RG,Ordinário,1,42,30,24,18,10,0,,,,,,,,,,30,3,47419,17.24,,47287,36.84,,47290,4.65,,,,,,,,,,,,,,,,
b3,6329,A6329,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,39,C39,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,42,10,0,,,,,,,,,,10,4,47199,97.5,,42869,100,,41703,100,,47079,97.44,,,,,,,,,,,,,
b3,6330,A6330,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,39,C39,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,36,10,0,,,,,,,,,,10,5,42257,97.67,,47079,97.44,,41703,100,,47199,95,,42729,96.55,,,,,,,,,,
b3,6331,A6331,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,56,C56,FALSO,2014,ANULADO,RG,Ordinário,1,60,30,30,0,10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
b1,6332,A6332,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,25,C25,VERDADEIRO,2015,ACTIVO,MUD,Ordinário,1,60,10,30,30,10,0,30,25/09/2015,Indeferida,30/11/2015,,,,,,30,5,47055,100,,47080,100,,42729,42.86,,47259,100,,41208,72.73,,,,,,,,,,
b1,6333,A6333,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,24,C24,VERDADEIRO,2015,ACTIVO,MUD,Ordinário,1,60,10,30,60,10,0,,,,,,,,,,10,5,42491,85.71,,47128,91.67,,42447,93.33,,42441,91.07,,47235,93.33,,,,,,,,,,
b3,6334,A6334,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,20,C20,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,20,34,30,1063.47,,,,,,,,,,20,5,47188,83.33,,41122,100,,47018,-2,,47013,26.67,,47048,92.86,,,,,,,,,,
b3,6335,A6335,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,39,C39,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,30,12,10,0,,,,,,,,,,30,5,47079,61.54,,41703,50,,47199,70,,42281,100,,42729,14.81,,,,,,,,,,
b3,6336,A6336,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,60,C60,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,24,48,10,0,,,,,,,,,,10,5,40492,91.11,,42729,86.21,,43153,100,,41703,93.75,,42215,100,,,,,,,,,,
b3,6337,A6337,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,26,C26,FALSO,2014,ACTIVO,RG,Ordinário,2,60,30,26,0,10,0,,,,,,,,,,30,4,40333,92.86,,43257,25,,43343,77.78,,40338,69.23,,,,,,,,,,,,,
b1,6338,A6338,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,45,C45,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,30,60,10,0,,,,,,10,152,1,1,20,5,45892,97.83,,40116,100,,45888,100,,45893,100,,40118,-2,,,,,,,,,,
b3,6339,A6339,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,18,C18,FALSO,2014,ACTIVO,RG,Ordinário,2,56,10,28,36,10,0,,,,,,,,,,30,4,43257,78.57,,47171,83.33,,42729,18.52,,41413,100,,,,,,,,,,,,,
b1,6340,A6340,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,48,C48,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,28,60,10,0,,,,,,10,150.2,2,1,10,6,40116,100,,40122,96.67,,45900,100,,40191,100,,46614,100,,40118,100,,,,,,,
b3,6341,A6341,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,76,C76,FALSO,2014,ACTIVO,RG,Ordinário,2,60,10,30,48,10,0,,,,,,,,,,10,5,42729,100,,40550,100,,40659,95.56,,40505,100,,40909,96.3,,,,,,,,,,
b3,6342,A6342,,PORTUGAL,Não,Não,,Licenciatura - 1º Ciclo,53,C53,FALSO,2014,ANULADO,RG,Ordinário,1,0,,0,0,10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
b1,6343,A6343,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,25,C25,VERDADEIRO,2015,ACTIVO,MUD,Agente Associativo - UA,1,60,10,30,54,10,0,,,,,,,,,,10,5,47259,100,,42729,96.67,,47055,100,,47080,100,,41208,100,,,,,,,,,,
