Subconjunto,Numero,Nome,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,UC1_CodUC,UC1_Assiduidade,UC1_AvalParcial,UC2_CodUC,UC2_Assiduidade,UC2_AvalParcial,UC3_CodUC,UC3_Assiduidade,UC3_AvalParcial,UC4_CodUC,UC4_Assiduidade,UC4_AvalParcial,UC5_CodUC,UC5_Assiduidade,UC5_AvalParcial,UC6_CodUC,UC6_Assiduidade,UC6_AvalParcial,UC7_CodUC,UC7_Assiduidade,UC7_AvalParcial,UC8_CodUC,UC8_Assiduidade,UC8_AvalParcial
b3,228,A228,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,58,C58,FALSO,2014,ACTIVO,TRA,Trabalhador Estudante,1,30,30,18,6,10,0,,,,,,,,,,20,2,42729,-1,,40431,-1,,,,,,,,,,,,,,,,,,,
b3,230,A230,,ANGOLA,Sim,Não,,Mestrado Integrado,27,C27,FALSO,2014,ACTIVO,EI,Ordinário,1,60,10,30,30,10,0,,,,,,,,,,20,4,47212,86.67,,41703,100,,41236,100,,43564,-2,,,,,,,,,,,,,
b1,233,A233,,ANGOLA,Sim,Não,,Mestrado Integrado,27,C27,VERDADEIRO,2015,ACTIVO,EI,Ordinário,1,60,30,30,0,10,0,,,,,,,,,,20,5,42729,3.7,,41236,-1,,47212,13.33,,41703,100,,43564,-2,,,,,,,,,,
b2,238,A238,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,7,C7,VERDADEIRO,2015,ACTIVO,TeSP-TCES,Trabalhador Estudante,1,60,10,30,42,10,0,,,,,,,,,,10,5,18041,89.66,,18105,93.33,,18108,100,,18106,100,,18107,90.32,,,,,,,,,,
b2,244,A244,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,11,C11,VERDADEIRO,2015,ACTIVO,TeSP-TCES,Trabalhador Estudante,1,48,30,30,12,10,0,,,,,,,,,,30,3,18137,73.33,,18139,100,,18138,60,,,,,,,,,,,,,,,,
b1,249,A249,,ANGOLA,Não,Não,,Licenciatura - 1º Ciclo,58,C58,VERDADEIRO,2015,ACTIVO,EI,Ordinário,1,60,30,30,18,10,0,,,,,,,,,,30,5,40431,94.12,,47166,61.36,,40436,89.66,,42729,92.86,,42502,84.21,,,,,,,,,,
b1,252,A252,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,17,C17,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,30,36,30,177.25,10,09/02/2016,Deferida,09/04/2016,1064,10,121,1,3,10,5,47266,100,,42257,94.87,,40308,100,,43501,97.67,,47035,100,,,,,,,,,,
b1,253,A253,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,17,C17,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,30,30,10,0,,,,,,10,130.2,1,4,10,5,40308,100,,42257,94.87,,43501,100,,47035,96.55,,47266,100,,,,,,,,,,
b1,254,A254,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,34,C34,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,30,36,10,0,,,,,,10,133.2,1,2,30,5,47001,78.57,,45301,85.37,,47081,100,,41159,68.97,,47240,100,,,,,,,,,,
b1,255,A255,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,62,C62,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,10,30,42,10,0,,,,,,10,132.6,1,1,30,5,47286,67.86,,43328,93.33,,40602,94.87,,40913,82.14,,40598,70.59,,,,,,,,,,
b1,256,A256,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2015,ACTIVO,RG,Ordinário,1,60,30,30,18,10,0,10,25/09/2015,Deferida,17/12/2015,3416,10,140.4,1,1,10,5,43501,97.56,,47035,96.43,,47266,97.37,,40308,96.43,,42782,92.31,,,,,,,,,,
b3,3271,A3271,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,24,C24,FALSO,2007,ACTIVO,REI,Ordinário,2,30,30,14,0,30,354.5,,,,,,,,,,20,3,42491,71.43,,47128,-1,,42447,100,,,,,,,,,,,,,,,,
b3,3272,A3272,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,32,C32,FALSO,2007,ACTIVO,ADL,Ordinário,2,30,30,12,0,10,0,,,,,,,,,,20,3,46415,65.52,,42729,-1,,46493,11.54,,,,,,,,,,,,,,,,
b3,3273,A3273,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,52,C52,FALSO,2014,ACTIVO,MUD,Trabalhador Estudante,1,30,30,12,0,10,0,,,,,,,,,,20,3,85101,34.48,,81436,-2,,81125,37.93,,,,,,,,,,,,,,,,
b3,3276,A3276,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,69,C69,FALSO,2013,ACTIVO,REI,Trabalhador Estudante,2,28,30,20,0,30,82.71,,,,,,,,,,30,1,90305,0,,,,,,,,,,,,,,,,,,,,,,
b1,3280,A3280,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,29,C29,FALSO,2015,ACTIVO,REI,Trabalhador Estudante,1,18,30,6,6,10,0,,,,,,,,,,30,2,46814,100,,46843,13.79,,,,,,,,,,,,,,,,,,,
